div_dpto;departamento;ano;casos;proyeccion;tasa;hist_dpto;porcentaje
88;SAN ANDRÉS;2019;25;62482;40.01152331871579;330;7.575757575757576
88;SAN ANDRÉS;2018;26;61280;42.42819843342036;330;7.878787878787878
88;SAN ANDRÉS;2017;23;61309;37.51488362230668;330;6.969696969696971
88;SAN ANDRÉS;2016;12;61358;19.557351934548063;330;3.6363636363636362
88;SAN ANDRÉS;2015;18;61406;29.313096440087286;330;5.454545454545454
88;SAN ANDRÉS;2014;23;61463;37.42088736312903;330;6.969696969696971
88;SAN ANDRÉS;2013;19;61543;30.87272313666867;330;5.757575757575758
88;SAN ANDRÉS;2012;16;61633;25.96011876754336;330;4.848484848484849
88;SAN ANDRÉS;2011;22;61711;35.650046183014375;330;6.666666666666667
88;SAN ANDRÉS;2010;8;61787;12.947707446550245;330;2.4242424242424243
19;CAUCA;2023;590;1528076;38.610645020273864;8795;6.708357021034679
19;CAUCA;2022;857;1516018;56.529671811284565;8795;9.744172825469017
19;CAUCA;2021;821;1504044;54.58616902165096;8795;9.334849346219443
19;CAUCA;2020;920;1491937;61.6648022000929;8795;10.46048891415577
19;CAUCA;2019;777;1478407;52.556569334425504;8795;8.834565093803297
19;CAUCA;2018;688;1464488;46.97887589382774;8795;7.822626492325186
19;CAUCA;2017;569;1448837;39.2728788676711;8795;6.469584991472427
19;CAUCA;2016;532;1434395;37.08880747632277;8795;6.048891415577033
19;CAUCA;2015;597;1420313;42.03298850323837;8795;6.787947697555429
19;CAUCA;2014;516;1406735;36.68068257347688;8795;5.8669698692438885
19;CAUCA;2013;524;1393465;37.60410200471487;8795;5.95793064241046
19;CAUCA;2012;639;1380257;46.29572608579417;8795;7.265491756679932
19;CAUCA;2011;577;1366758;42.2166908845604;8795;6.560545764638999
19;CAUCA;2010;188;1352942;13.89564371569513;8795;2.1375781694144402
95;GUAVIARE;2023;41;92281;44.429514201189846;502;8.167330677290837
95;GUAVIARE;2022;40;90357;44.268844693825606;502;7.968127490039841
95;GUAVIARE;2021;32;88490;36.162278223528084;502;6.374501992031872
95;GUAVIARE;2020;32;86657;36.927195725677095;502;6.374501992031872
95;GUAVIARE;2019;32;84716;37.77326597100902;502;6.374501992031872
95;GUAVIARE;2018;21;82767;25.372431041357064;502;4.183266932270916
95;GUAVIARE;2017;39;80507;48.44299253481064;502;7.768924302788845
