departamento;ano;casos;proyeccion;tasa;CambioConteo;CambioCasos;CambioCasosPor
SANTANDER;2010;148;1996352;7.41352226461065;NA;NA;NA
VAUPÉS;2022;6;48932;12.261914493582932;Mayor;5.0;500.0
VAUPÉS;2021;1;46808;2.136386942403008;Menor;3.0;75.0
VAUPÉS;2020;4;44712;8.946144211844695;Mayor;1.0;33.33333333333334
VAUPÉS;2019;3;42721;7.022307530254442;Igual;0.0;0.0
VAUPÉS;2018;3;40797;7.353481873667182;Mayor;1.0;50.0
VAUPÉS;2017;2;39811;5.0237371580718895;Igual;0.0;0.0
VAUPÉS;2016;2;38737;5.163022433332473;Menor;4.0;66.66666666666666
VAUPÉS;2015;6;37638;15.941335883947074;Mayor;3.0;100.0
VAUPÉS;2014;3;36509;8.217151935139281;Mayor;1.0;50.0
VAUPÉS;2013;2;35353;5.657228523746217;Mayor;1.0;100.0
VAUPÉS;2012;1;34165;2.926972047416947;Igual;0.0;0.0
VAUPÉS;2011;1;32940;3.035822707953856;NA;NA;NA
CUNDINAMARCA;2023;227;3577177;6.345786076562608;Menor;155.0;40.575916230366495
CUNDINAMARCA;2022;382;3478323;10.982303828597862;Menor;58.0;13.181818181818187
CUNDINAMARCA;2021;440;3372221;13.047780676296128;Mayor;52.0;13.402061855670098
CUNDINAMARCA;2020;388;3242999;11.96423433988108;Mayor;6.0;1.5706806282722567
CUNDINAMARCA;2019;382;3085522;12.380401112032258;Menor;13.0;3.2911392405063253
CUNDINAMARCA;2018;395;2919060;13.531753372661065;Menor;41.0;9.403669724770637
CUNDINAMARCA;2017;436;2773285;15.721427837384184;Menor;16.0;3.5398230088495524
CUNDINAMARCA;2016;452;2652076;17.043252154161493;Menor;5.0;1.0940919037199137
CUNDINAMARCA;2015;457;2543338;17.968512246504396;Mayor;25.0;5.787037037037038
CUNDINAMARCA;2014;432;2446138;17.66049176293406;Menor;83.0;16.116504854368927
CUNDINAMARCA;2013;515;2357339;21.84666694098728;Mayor;129.0;33.41968911917098
CUNDINAMARCA;2012;386;2276097;16.95885544420998;Menor;41.0;9.601873536299763
CUNDINAMARCA;2011;427;2202092;19.39065216167172;Mayor;307.0;255.83333333333331
CUNDINAMARCA;2010;120;2134776;5.621198664403197;NA;NA;NA
PUTUMAYO;2023;104;374042;27.804364215783256;Menor;120.0;53.57142857142857
PUTUMAYO;2022;224;369064;60.69408015953872;Mayor;35.0;18.51851851851852
PUTUMAYO;2021;189;364085;51.91095485944216;Mayor;4.0;2.1621621621621614
PUTUMAYO;2020;185;359127;51.513809877842654;Mayor;16.0;9.46745562130178
PUTUMAYO;2019;169;353759;47.77263617321397;Mayor;10.0;6.289308176100633
PUTUMAYO;2018;159;348182;45.665772498291126;Mayor;27.0;20.454545454545453
PUTUMAYO;2017;132;340750;38.73807776962583;Mayor;22.0;20.0
PUTUMAYO;2016;110;334152;32.91915056620939;Menor;35.0;24.13793103448276
PUTUMAYO;2015;145;327856;44.22673368796057;Menor;72.0;33.17972350230414
PUTUMAYO;2014;217;321850;67.42271244368494;Menor;1.0;0.45871559633027914
PUTUMAYO;2013;218;315941;69.00022472550255;Mayor;34.0;18.47826086956522
PUTUMAYO;2012;184;310027;59.34966954491061;Mayor;22.0;13.580246913580254
PUTUMAYO;2011;162;303929;53.30192248847593;Mayor;97.0;149.23076923076923
PUTUMAYO;2010;65;297600;21.841397849462368;NA;NA;NA
META;2023;150;1088749;13.777280162829085;Menor;134.0;47.183098591549296
META;2022;284;1080706;26.279117539830445;Menor;36.0;11.25
META;2021;320;1072412;29.83927818786064;Menor;2.0;0.6211180124223574
META;2020;322;1063454;30.27869564645015;Mayor;102.0;46.363636363636374
META;2019;220;1052125;20.910062967803256;Menor;54.0;19.708029197080293
META;2018;274;1039722;26.353198258765325;Menor;10.0;3.5211267605633765
META;2017;284;1021943;27.790199649099804;Menor;15.0;5.016722408026752
META;2016;299;1004633;29.76211213448095;Menor;11.0;3.548387096774192
META;2015;310;987232;31.400927036400763;Menor;9.0;2.8213166144200557
META;2014;319;969808;32.89310873904938;Menor;1.0;0.3125
META;2013;320;952101;33.60987962411551;Menor;83.0;20.59553349875931
META;2012;403;933966;43.14932235220554;Mayor;14.0;3.598971722365036
META;2011;389;915277;42.50079484134311;Mayor;257.0;194.6969696969697
META;2010;132;896034;14.731583846148697;NA;NA;NA
CAUCA;2023;459;1528076;30.03777299034865;Menor;398.0;46.44107351225204
CAUCA;2022;857;1516018;56.529671811284565;Mayor;36.0;4.384896467722285
CAUCA;2021;821;1504044;54.58616902165096;Menor;99.0;10.76086956521739
CAUCA;2020;920;1491937;61.6648022000929;Mayor;143.0;18.404118404118407
CAUCA;2019;777;1478407;52.556569334425504;Mayor;89.0;12.936046511627907
CAUCA;2018;688;1464488;46.97887589382774;Mayor;119.0;20.91388400702988
CAUCA;2017;569;1448837;39.2728788676711;Mayor;37.0;6.954887218045116
CAUCA;2016;532;1434395;37.08880747632277;Menor;65.0;10.887772194304858
CAUCA;2015;597;1420313;42.03298850323837;Mayor;81.0;15.697674418604649
CAUCA;2014;516;1406735;36.68068257347688;Menor;8.0;1.5267175572519136
CAUCA;2013;524;1393465;37.60410200471487;Menor;115.0;17.996870109546165
CAUCA;2012;639;1380257;46.29572608579417;Mayor;62.0;10.745233968804158
CAUCA;2011;577;1366758;42.2166908845604;Mayor;389.0;206.91489361702128
CAUCA;2010;188;1352942;13.89564371569513;NA;NA;NA
GUAJIRA;2023;97;1015909;9.548099288420518;Menor;77.0;44.252873563218394
GUAJIRA;2022;174;1002394;17.3584438853385;Mayor;1.0;0.5780346820809257
GUAJIRA;2021;173;987781;17.514003610111956;Menor;42.0;19.53488372093024
GUAJIRA;2020;215;965718;22.263227981667526;Menor;1.0;0.4629629629629619
GUAJIRA;2019;216;927506;23.288259051693466;Menor;8.0;3.5714285714285694
GUAJIRA;2018;224;880560;25.438357408921597;Mayor;3.0;1.3574660633484115
GUAJIRA;2017;221;846012;26.122560909301527;Mayor;29.0;15.104166666666671
GUAJIRA;2016;192;822700;23.337790202990156;Mayor;9.0;4.918032786885249
GUAJIRA;2015;183;803092;22.78692852126531;Mayor;36.0;24.48979591836735
GUAJIRA;2014;147;786618;18.68759677505473;Menor;37.0;20.108695652173907
GUAJIRA;2013;184;770616;23.877002294268483;Menor;51.0;21.702127659574472
GUAJIRA;2012;235;754574;31.143400117152197;Mayor;6.0;2.620087336244538
GUAJIRA;2011;229;738743;30.998601678797638;Mayor;146.0;175.90361445783134
GUAJIRA;2010;83;722913;11.481326245343492;NA;NA;NA
CHOCÓ;2023;120;557654;21.518719492732053;Menor;169.0;58.477508650519034
CHOCÓ;2022;289;553519;52.21139653742689;Menor;3.0;1.0273972602739718
CHOCÓ;2021;292;549225;53.16582457098639;Menor;17.0;5.501618122977348
CHOCÓ;2020;309;544764;56.72180981122101;Mayor;88.0;39.81900452488688
CHOCÓ;2019;221;539933;40.93100440239808;Mayor;15.0;7.28155339805825
CHOCÓ;2018;206;534826;38.51719998653768;Menor;24.0;10.434782608695656
CHOCÓ;2017;230;526888;43.65254095747103;Mayor;16.0;7.476635514018696
CHOCÓ;2016;214;518234;41.29408722700556;Mayor;55.0;34.59119496855345
CHOCÓ;2015;159;509240;31.222998978870475;Menor;19.0;10.67415730337079
CHOCÓ;2014;178;499946;35.60384521528325;Menor;27.0;13.170731707317074
CHOCÓ;2013;205;490338;41.80789577801435;Menor;14.0;6.392694063926939
CHOCÓ;2012;219;480391;45.58786488506238;Mayor;63.0;40.38461538461539
CHOCÓ;2011;156;470087;33.1853465422358;Mayor;126.0;420.0
CHOCÓ;2010;30;459453;6.529503561844193;NA;NA;NA
RISARALDA;2023;145;988091;14.67476173753227;Menor;74.0;33.789954337899545
RISARALDA;2022;219;977829;22.396553998705294;Menor;9.0;3.94736842105263
RISARALDA;2021;228;968626;23.53849679855796;Menor;10.0;4.201680672268907
RISARALDA;2020;238;961055;24.764451566247512;Mayor;13.0;5.7777777777777715
RISARALDA;2019;225;952511;23.621774446699305;Mayor;6.0;2.7397260273972535
RISARALDA;2018;219;943401;23.21388253775436;Menor;56.0;20.36363636363636
RISARALDA;2017;275;935164;29.4066067556065;Menor;12.0;4.181184668989545
RISARALDA;2016;287;929046;30.891904168361958;Menor;26.0;8.306709265175712
RISARALDA;2015;313;923443;33.89489118440445;Menor;11.0;3.3950617283950635
RISARALDA;2014;324;918965;35.25705549177607;Menor;32.0;8.98876404494382
RISARALDA;2013;356;915413;38.88955039965568;Menor;29.0;7.532467532467535
RISARALDA;2012;385;912087;42.21088558437956;Menor;8.0;2.0356234096692134
RISARALDA;2011;393;907896;43.28689629649211;Mayor;257.0;188.97058823529414
RISARALDA;2010;136;902994;15.061008157307802;NA;NA;NA
GUAVIARE;2023;31;92281;33.59304732285086;Menor;9.0;22.5
GUAVIARE;2022;40;90357;44.268844693825606;Mayor;8.0;25.0
GUAVIARE;2021;32;88490;36.16227822352808;Igual;0.0;0.0
GUAVIARE;2020;32;86657;36.927195725677095;Igual;0.0;0.0
GUAVIARE;2019;32;84716;37.77326597100902;Mayor;11.0;52.38095238095238
GUAVIARE;2018;21;82767;25.372431041357064;Menor;18.0;46.15384615384615
GUAVIARE;2017;39;80507;48.44299253481064;Mayor;17.0;77.27272727272728
GUAVIARE;2016;22;78796;27.92019899487284;Menor;12.0;35.294117647058826
GUAVIARE;2015;34;77328;43.968549555141735;Menor;8.0;19.04761904761905
GUAVIARE;2014;42;76101;55.18981353727283;Menor;10.0;19.230769230769226
GUAVIARE;2013;52;75092;69.24838864326426;Mayor;4.0;8.333333333333329
